date,soybean_oil_future,crude_oil_future,gas_oil_future,crude_palm_oil_fob_spot,dollar_to_ringgit,oceanic_nino_index,palm_oil_inventory,dollar_index_spot
30/4/2010,39.37,85.75,711.56,2548.07,3.2072,0.4,1622.603,81.231
31/5/2010,37.92,77,653.57,2534.57,3.2537,-0.1,1563.738,85.419
30/6/2010,37.24,75.66,653.92,2506.2,3.2658,-0.6,1454.517,86.575
30/7/2010,38.01,75.36,639.82,2478.36,3.2051,-1,1409.252,83.14
31/8/2010,40.7,77.11,654.38,2722.93,3.1532,-1.4,1709.735,82.149
30/9/2010,42.22,78.42,669.58,2727.4,3.1056,-1.6,1713.926,81.082
29/10/2010,47.13,83.54,713.5,2901.69,3.1003,-1.7,1796.036,77.46
30/11/2010,50.95,86.16,728.52,3280.75,3.1166,-1.7,1637.164,78.437
31/12/2010,54.98,92.25,769.01,3640.85,3.1253,-1.6,1616.237,80.068
31/1/2011,57.27,96.91,805.19,3766.1,3.061,-1.4,1418.456,79.155
28/2/2011,57.53,104.03,875.09,3771.75,3.0445,-1.1,1481.169,77.778
31/3/2011,56.67,114.67,970.6,3462.5,3.0355,-0.8,1614.185,76.289
29/4/2011,58.02,123.09,1019.13,3377.81,3.011,-0.6,1670.792,74.701
31/5/2011,57.12,114.52,939.68,3401.78,3.0148,-0.5,1922.655,74.943
30/6/2011,56.7,113.9,941.52,3274.45,3.0287,-0.4,2054.708,74.695
29/7/2011,56.39,116.75,964.65,3098.4,2.9943,-0.5,2008.704,74.734
31/8/2011,55.6,109.93,932.25,3124.75,2.9847,-0.7,1899.813,74.239
30/9/2011,55.34,109.9,929.24,3052.4,3.079,-0.9,2163.292,76.916
31/10/2011,51.23,108.79,925.61,2861.45,3.1373,-1.1,2131.757,77.156
30/11/2011,50.73,110.49,965.19,3096.75,3.1541,-1.1,2096.883,77.958
30/12/2011,50.13,107.72,922.56,3079.57,3.1593,-1,2057.296,79.629
31/1/2012,51.46,111.45,953.19,3172.29,3.1136,-0.8,2020.881,80.338
29/2/2012,53.08,119.06,1000.18,3146.11,3.023,-0.6,2061.698,78.953
30/3/2012,54.43,124.54,1025.13,3315.59,3.0465,-0.5,1956.881,79.544
30/4/2012,55.91,120.49,1003.36,3495.6,3.0615,-0.4,1850.731,79.43
31/5/2012,51.63,110.29,931.47,3207.48,3.1007,-0.2,1785.714,80.989
29/6/2012,49.8,95.93,838.33,2964.26,3.1813,0.1,1699.145,82.245
31/7/2012,53.38,102.72,887.56,3013.52,3.1666,0.3,1999.093,83.023
31/8/2012,53.99,112.68,964.65,2845.22,3.1171,0.3,2112.797,82.159
28/9/2012,55.12,113.03,986.4,2667.39,3.0804,0.3,2480.99,79.88
31/10/2012,51,111.52,979.9,2281.3,3.0554,0.2,2505.173,79.737
30/11/2012,48.61,109.53,936.58,2198.6,3.0584,0,2565.745,80.686
31/12/2012,49.55,109.2,927.76,2076.18,3.0561,-0.2,2627.419,79.75
31/1/2013,51.11,112.32,959.76,2237.17,3.0426,-0.4,2563.345,79.871
28/2/2013,51.35,116.07,992.11,2402.5,3.098,-0.3,2425.849,80.603
29/3/2013,50.12,109.54,914.49,2349.72,3.1082,-0.2,2160.81,82.63
30/4/2013,49.29,103.42,865.92,2296.3,3.0488,-0.2,1913.531,82.533
31/5/2013,49.18,103.28,860.82,2290.05,3.0207,-0.3,1816.341,83.222
28/6/2013,48.02,103.34,873.58,2389.22,3.1445,-0.3,1647.604,81.872
31/7/2013,45.39,107.43,910.53,2320.48,3.1921,-0.4,1674.258,82.816
30/8/2013,42.87,110.45,934.8,2358.68,3.2774,-0.4,1668.132,81.482
30/9/2013,42.45,111.25,938.73,2354.93,3.2499,-0.3,1783.773,81.206
31/10/2013,40.81,109.44,929.15,2388.07,3.1751,-0.2,1845.936,79.869
29/11/2013,40.7,107.9,913.94,2577.72,3.1993,-0.2,1978.685,80.839
31/12/2013,39.68,110.7,938.71,2574.95,3.2522,-0.3,1987.111,80.318
31/1/2014,37.82,107.11,913.55,2534.31,3.304,-0.4,1935.215,80.801
28/2/2014,39.63,108.83,920.08,2669.92,3.3081,-0.4,1656.931,80.437
31/3/2014,42.23,107.75,901.17,2850.38,3.2822,-0.2,1688.093,79.872
30/4/2014,42.37,108.09,907.68,2696.95,3.2555,0.1,1766.19,79.852
30/5/2014,40.62,109.24,906.25,2579.3,3.2297,0.3,1841.341,79.964
30/6/2014,39.53,111.97,912.52,2447.13,3.219,0.2,1656.756,80.442
31/7/2014,36.95,108.19,890.3,2401.53,3.1827,0.1,1684.756,80.535
29/8/2014,33.86,103.4,869.75,2152.17,3.177,0,2053.199,81.853
30/9/2014,32.3,98.57,833.69,2089.26,3.2173,0.2,2090.529,84.366
31/10/2014,32.79,88.05,754.73,2189,3.2689,0.4,2166.311,85.681
28/11/2014,32.72,79.63,707.39,2219.85,3.3473,0.6,2280.561,87.722
31/12/2014,32.06,63.27,572.32,2174.39,3.4799,0.7,2015.789,89.186
30/1/2015,32.19,49.76,479.15,2287.26,3.5808,0.6,1761.895,92.815
27/2/2015,31.66,58.79,564.42,2271.72,3.5991,0.6,1736.159,94.391
31/3/2015,31.07,56.94,539.83,2232.55,3.6807,0.6,1858.392,97.897
30/4/2015,31.37,61.14,560.27,2154.11,3.634,0.8,2182.012,97.519
29/5/2015,32.59,65.61,600.64,2161.25,3.6027,1,2239.486,95.233
30/6/2015,33.48,63.75,579.91,2263.33,3.7399,1.2,2141.91,95.169
31/7/2015,31.6,56.76,521.67,2181.39,3.8019,1.5,2257.897,96.925
31/8/2015,28.57,48.21,464.44,1951.5,4.0639,1.8,2491.966,96.388
30/9/2015,26.81,48.54,472.02,2020.61,4.3069,2.1,2641.292,95.783
30/10/2015,28.38,49.29,459.09,2203.1,4.2554,2.4,2835.348,95.718
30/11/2015,27.88,45.93,436.43,2113,4.3145,2.5,2910.929,99.07
31/12/2015,30.82,38.9,355.58,2164.52,4.2801,2.6,2633.94,98.308
29/1/2016,30.01,31.93,293.27,2266.03,4.3396,2.5,2308.778,98.986
29/2/2016,31.16,33.53,309,2427.82,4.1809,2.2,2170.341,97.039
31/3/2016,32.48,39.79,356.89,2541.84,4.0681,1.7,1885.631,96.266
29/4/2016,33.95,43.34,372,2648.98,3.9003,1,1804.495,94.404
31/5/2016,32.21,47.65,424.69,2619.25,4.0442,0.5,1649.859,94.568
30/6/2016,31.91,49.93,444.49,2539.5,4.0799,0,1774.625,94.663
29/7/2016,30.4,46.53,407.73,2347.03,4.0188,-0.3,1770.367,96.528
31/8/2016,32.33,47.16,410.95,2663.07,4.026,-0.6,1464.081,95.38
30/9/2016,32.81,47.24,420.59,2854.63,4.1105,-0.7,1546.758,95.479
31/10/2016,34.44,51.39,462.99,2735.03,4.1736,-0.7,1574.471,97.714
30/11/2016,35.04,47.08,427.38,2914.48,4.3388,-0.7,1663.728,99.768
30/12/2016,36.4,54.92,486.17,3209.35,4.4614,-0.6,1666.673,102.04
31/1/2017,35.11,55.51,489.13,3276.1,4.4585,-0.3,1541.088,101.2
28/2/2017,33.7,56,496,3212.68,4.4438,-0.1,1459.361,100.695
31/3/2017,32.93,52.54,465.41,2948.41,4.4376,0.1,1553.219,100.76
28/4/2017,31.54,53.82,479.8,2743.97,4.4053,0.3,1600.126,100.067
31/5/2017,32.49,51.39,455.32,2818.7,4.3138,0.4,1557.354,98.239
30/6/2017,31.97,47.55,424.7,2676.05,4.2771,0.4,1526.839,96.943
31/7/2017,33.55,49.15,452.94,2626.88,4.2899,0.2,1784.369,94.916
31/8/2017,33.92,51.87,481.77,2647.61,4.2842,-0.1,1941.717,93.175
29/9/2017,34.32,55.51,530.5,2776.75,4.2082,-0.4,2015.922,92.343
31/10/2017,33.71,57.65,531.15,2742.7,4.2298,-0.7,2203.383,93.712
30/11/2017,34.41,62.87,559.45,2654.14,4.1681,-0.9,2553.739,93.963
29/12/2017,33.16,64.08,571.69,2401.06,4.0775,-1,2732.093,93.398
